title,source,diff_ITD,diff_ILD
AM Contra - Heart Peripheral,bass,453.51473922902494,0.41976007317630115
AM Contra - Heart Peripheral,drums,0.0,0.07441689981151489
AM Contra - Heart Peripheral,other,90.70294784580499,0.1903100886096295
AM Contra - Heart Peripheral,vocals,272.10884353741494,0.07010611243022513
Al James - Schoolboy Facination,bass,362.81179138321994,0.006236665430776611
Al James - Schoolboy Facination,drums,0.0,0.637127433570166
Al James - Schoolboy Facination,other,90.70294784580494,0.16921682387092307
Al James - Schoolboy Facination,vocals,113.37868480725626,0.07862302879192651
Angels In Amplifiers - I'm Alright,bass,748.2993197278912,0.016655963551962305
Angels In Amplifiers - I'm Alright,drums,0.0,0.1415079162972861
Angels In Amplifiers - I'm Alright,other,0.0,0.10804002506017518
Angels In Amplifiers - I'm Alright,vocals,0.0,0.19611924479375098
Arise - Run Run Run,bass,816.3265306122449,0.14023969391647206
Arise - Run Run Run,drums,0.0,0.2970317758849999
Arise - Run Run Run,other,725.6235827664399,0.018029654499551295
Arise - Run Run Run,vocals,22.675736961451264,0.02598785587440311
BKS - Bulldozer,bass,362.81179138321994,0.010537915795480135
BKS - Bulldozer,drums,22.67573696145132,0.007703598140782475
BKS - Bulldozer,other,0.0,0.2723523902572751
BKS - Bulldozer,vocals,725.62358276644,0.08671940544107493
BKS - Too Much,bass,793.6507936507936,0.055018640858508494
BKS - Too Much,drums,0.0,0.01838999386353013
BKS - Too Much,other,0.0,0.06154373715396799
BKS - Too Much,vocals,22.67573696145132,0.04921702748452139
Ben Carrigan - We'll Talk About It All Tonight,bass,453.51473922902494,0.03500138395441699
Ben Carrigan - We'll Talk About It All Tonight,drums,0.0,0.17334416877785452
Ben Carrigan - We'll Talk About It All Tonight,other,22.675736961451264,0.09479039591009952
Ben Carrigan - We'll Talk About It All Tonight,vocals,226.75736961451253,0.01183551447775244
Bobby Nobody - Stitch Up,bass,544.2176870748299,0.071984462302074
Bobby Nobody - Stitch Up,drums,22.67573696145132,0.11732299679546587
Bobby Nobody - Stitch Up,other,0.0,0.19192952099385696
Bobby Nobody - Stitch Up,vocals,0.0,0.016704654519080098
Buitraker - Revo X,bass,544.2176870748299,0.04062574510128458
Buitraker - Revo X,drums,0.0,0.046811836349919034
Buitraker - Revo X,other,0.0,0.17732922008707375
Buitraker - Revo X,vocals,22.67573696145132,0.022962087803518827
Carlos Gonzalez - A Place For Us,bass,544.2176870748299,0.3645116465411724
Carlos Gonzalez - A Place For Us,drums,0.0,0.013063381474027247
Carlos Gonzalez - A Place For Us,other,0.0,0.016616887145223913
Carlos Gonzalez - A Place For Us,vocals,0.0,0.17643144434467573
