title,source,SSR,SRR,cost,shift,scale
Bobby Nobody - Stitch Up,bass,23.870274451588468,10.927303650488994,3.4611161519189637,"[[ 0.  6.]
 [-6. -1.]]","[[0.85662042 0.05349472]
 [0.17337062 0.74924396]]"
Bobby Nobody - Stitch Up,drums,15.920108806316026,8.303514124222831,3.532205733786389,"[[0. 0.]
 [0. 0.]]","[[ 0.78401071  0.04366144]
 [-0.04941137  0.89822819]]"
Bobby Nobody - Stitch Up,other,16.384965945265584,7.0394177964386095,5.36120756995979,"[[0. 0.]
 [0. 0.]]","[[0.86686371 0.01512113]
 [0.02574783 0.81782648]]"
Bobby Nobody - Stitch Up,vocals,22.497630760244384,11.005452353513771,2.9593603894542984,"[[0. 0.]
 [0. 0.]]","[[0.8810101  0.0054187 ]
 [0.00728948 0.89294098]]"
Buitraker - Revo X,bass,24.302040428830523,12.302811411903802,4.108004212164524,"[[ 2.  6.]
 [-6. -2.]]","[[0.61976713 0.2817356 ]
 [0.26549345 0.63871148]]"
Buitraker - Revo X,drums,32.30782871675483,15.501850278477878,3.908875181547789,"[[ 0.  1.]
 [-1.  0.]]","[[0.9541032  0.02813418]
 [0.03895204 0.93482917]]"
Buitraker - Revo X,other,13.913247780508787,7.1878844158754065,5.761276786309809,"[[0. 0.]
 [0. 0.]]","[[ 0.85613287 -0.05888599]
 [-0.05950714  0.86266865]]"
Buitraker - Revo X,vocals,15.615818574945706,5.872046163995494,3.646278880239202,"[[0. 0.]
 [0. 0.]]","[[0.61237726 0.10108893]
 [0.060588   0.6635578 ]]"
Carlos Gonzalez - A Place For Us,bass,3.0561876685135934,-4.639455894391004,2.2171410954055757,"[[0. 0.]
 [0. 0.]]","[[0.15193573 0.1519357 ]
 [0.15155478 0.15155477]]"
Carlos Gonzalez - A Place For Us,drums,17.535365459543904,7.463821751622462,4.272898423136233,"[[0. 0.]
 [0. 0.]]","[[0.91890807 0.04356474]
 [0.0860629  0.89800008]]"
Carlos Gonzalez - A Place For Us,other,20.080314411785515,8.806526056287638,5.832707209475309,"[[0. 0.]
 [0. 0.]]","[[ 0.92862165 -0.00466624]
 [-0.00841254  0.92396068]]"
