title,source,SSR,SRR,cost,shift,scale
Bobby Nobody - Stitch Up,bass,20.059917153485273,8.215877408714857,3.951371261867637,"[[  1.  31.]
 [-32.  -2.]]","[[0.86064948 0.11005452]
 [0.2307192  0.80373213]]"
Bobby Nobody - Stitch Up,drums,24.900683303924744,8.404813296983033,2.9434058875036526,"[[  0.  36.]
 [-36.   0.]]","[[ 1.03704321 -0.00815785]
 [-0.02197129  0.98891458]]"
Bobby Nobody - Stitch Up,other,20.726537817049756,4.425921626931411,5.471426185046479,"[[  0.  13.]
 [-13.   0.]]","[[ 0.9822095   0.0078738 ]
 [-0.02333404  1.00431766]]"
Bobby Nobody - Stitch Up,vocals,18.656345316865522,9.835079727004327,2.416538968515222,"[[ 0.  8.]
 [-8.  0.]]","[[1.0296     0.01992823]
 [0.0316705  0.99947249]]"
Buitraker - Revo X,bass,11.63147841484115,12.486440551679737,3.851372796251221,"[[  2.  31.]
 [-31.  -1.]]","[[1.13992863 0.07351557]
 [0.11486426 1.13030004]]"
Buitraker - Revo X,drums,10.976324597078193,16.82888333724887,3.0336205135604253,"[[  0. -21.]
 [ 21.   0.]]","[[1.16956831 0.10757963]
 [0.03032624 1.24147396]]"
Buitraker - Revo X,other,19.82665915062573,4.817573989772654,4.788412662715332,"[[ 0.  8.]
 [-8.  0.]]","[[1.01658802 0.01221794]
 [0.0256109  0.98624678]]"
Buitraker - Revo X,vocals,14.930492014946532,6.534335185526976,3.1053861002715455,"[[  0. -34.]
 [ 34.   0.]]","[[ 1.05795484 -0.01038131]
 [ 0.00171959  1.1312326 ]]"
Carlos Gonzalez - A Place For Us,bass,5.751910195335967,2.615949551722647,2.981439502759261,"[[  1.  28.]
 [-26.   0.]]","[[1.25717448 0.26466884]
 [0.5769286  1.2277255 ]]"
Carlos Gonzalez - A Place For Us,drums,7.426236098099021,8.852509814822533,3.2844076118431205,"[[0. 0.]
 [0. 0.]]","[[1.32783551 0.31426548]
 [0.44237627 1.24499121]]"
